Date,Visitor/Neutral,Home/Neutral
2013-11-02,San Antonio Spurs,Portland Trail Blazers
2013-11-02,Houston Rockets,Utah Jazz
2013-11-03,Boston Celtics,Detroit Pistons
2013-11-03,Atlanta Hawks,Los Angeles Lakers
2013-11-03,Washington Wizards,Miami Heat
2013-11-03,Minnesota Timberwolves,New York Knicks
2013-11-03,Phoenix Suns,Oklahoma City Thunder
2013-11-03,Brooklyn Nets,Orlando Magic
2013-11-04,Minnesota Timberwolves,Cleveland Cavaliers
2013-11-04,Houston Rockets,Los Angeles Clippers
2013-11-04,Boston Celtics,Memphis Grizzlies
2013-11-04,Golden State Warriors,Philadelphia 76ers
2013-11-05,Utah Jazz,Brooklyn Nets
2013-11-05,Los Angeles Lakers,Dallas Mavericks
2013-11-05,San Antonio Spurs,Denver Nuggets
2013-11-05,Indiana Pacers,Detroit Pistons
2013-11-05,Phoenix Suns,New Orleans Pelicans
2013-11-05,Charlotte Bobcats,New York Knicks
2013-11-05,Houston Rockets,Portland Trail Blazers
2013-11-05,Atlanta Hawks,Sacramento Kings
2013-11-05,Miami Heat,Toronto Raptors
2013-11-06,Utah Jazz,Boston Celtics
2013-11-06,Toronto Raptors,Charlotte Bobcats
2013-11-06,Chicago Bulls,Indiana Pacers
2013-11-06,New Orleans Pelicans,Memphis Grizzlies
2013-11-06,Cleveland Cavaliers,Milwaukee Bucks
2013-11-06,Golden State Warriors,Minnesota Timberwolves
2013-11-06,Dallas Mavericks,Oklahoma City Thunder
2013-11-06,Los Angeles Clippers,Orlando Magic
2013-11-06,Washington Wizards,Philadelphia 76ers
2013-11-06,Phoenix Suns,San Antonio Spurs
2013-11-07,Atlanta Hawks,Denver Nuggets
2013-11-07,Los Angeles Lakers,Houston Rockets
2013-11-07,Los Angeles Clippers,Miami Heat
2013-11-08,New York Knicks,Charlotte Bobcats
2013-11-08,Utah Jazz,Chicago Bulls
2013-11-08,Oklahoma City Thunder,Detroit Pistons
2013-11-08,Toronto Raptors,Indiana Pacers
2013-11-08,Dallas Mavericks,Minnesota Timberwolves
2013-11-08,Los Angeles Lakers,New Orleans Pelicans
2013-11-08,Boston Celtics,Orlando Magic
2013-11-08,Cleveland Cavaliers,Philadelphia 76ers
2013-11-08,Denver Nuggets,Phoenix Suns
2013-11-08,Sacramento Kings,Portland Trail Blazers
2013-11-08,Golden State Warriors,San Antonio Spurs
2013-11-08,Brooklyn Nets,Washington Wizards
2013-11-09,Orlando Magic,Atlanta Hawks
2013-11-09,Indiana Pacers,Brooklyn Nets
2013-11-09,Philadelphia 76ers,Cleveland Cavaliers
2013-11-09,Los Angeles Clippers,Houston Rockets
2013-11-09,Golden State Warriors,Memphis Grizzlies
2013-11-09,Boston Celtics,Miami Heat
2013-11-09,Dallas Mavericks,Milwaukee Bucks
2013-11-09,Portland Trail Blazers,Sacramento Kings
2013-11-09,Utah Jazz,Toronto Raptors
2013-11-10,Minnesota Timberwolves,Los Angeles Lakers
2013-11-10,San Antonio Spurs,New York Knicks
2013-11-10,Washington Wizards,Oklahoma City Thunder
2013-11-10,New Orleans Pelicans,Phoenix Suns
2013-11-11,Orlando Magic,Boston Celtics
2013-11-11,Atlanta Hawks,Charlotte Bobcats
2013-11-11,Cleveland Cavaliers,Chicago Bulls
2013-11-11,Toronto Raptors,Houston Rockets
2013-11-11,Memphis Grizzlies,Indiana Pacers
2013-11-11,Minnesota Timberwolves,Los Angeles Clippers
2013-11-11,San Antonio Spurs,Philadelphia 76ers
2013-11-11,Detroit Pistons,Portland Trail Blazers
2013-11-11,Denver Nuggets,Utah Jazz
2013-11-12,Washington Wizards,Dallas Mavericks
2013-11-12,Detroit Pistons,Golden State Warriors
2013-11-12,New Orleans Pelicans,Los Angeles Lakers
2013-11-12,Milwaukee Bucks,Miami Heat
2013-11-13,New York Knicks,Atlanta Hawks
2013-11-13,Charlotte Bobcats,Boston Celtics
2013-11-13,Los Angeles Lakers,Denver Nuggets
2013-11-13,Oklahoma City Thunder,Los Angeles Clippers
2013-11-13,Toronto Raptors,Memphis Grizzlies
2013-11-13,Cleveland Cavaliers,Minnesota Timberwolves
2013-11-13,Milwaukee Bucks,Orlando Magic
2013-11-13,Houston Rockets,Philadelphia 76ers
2013-11-13,Phoenix Suns,Portland Trail Blazers
2013-11-13,Brooklyn Nets,Sacramento Kings
2013-11-13,Washington Wizards,San Antonio Spurs
2013-11-13,New Orleans Pelicans,Utah Jazz
2013-11-14,Oklahoma City Thunder,Golden State Warriors
2013-11-14,Houston Rockets,New York Knicks
2013-11-15,Philadelphia 76ers,Atlanta Hawks
2013-11-15,Portland Trail Blazers,Boston Celtics
2013-11-15,Charlotte Bobcats,Cleveland Cavaliers
2013-11-15,Minnesota Timberwolves,Denver Nuggets
2013-11-15,Milwaukee Bucks,Indiana Pacers
2013-11-15,Memphis Grizzlies,Los Angeles Lakers
2013-11-15,Dallas Mavericks,Miami Heat
2013-11-15,Brooklyn Nets,Phoenix Suns
2013-11-15,Detroit Pistons,Sacramento Kings
2013-11-15,Chicago Bulls,Toronto Raptors
2013-11-15,San Antonio Spurs,Utah Jazz
2013-11-16,Miami Heat,Charlotte Bobcats
2013-11-16,Indiana Pacers,Chicago Bulls
2013-11-16,Utah Jazz,Golden State Warriors
2013-11-16,Denver Nuggets,Houston Rockets
2013-11-16,Brooklyn Nets,Los Angeles Clippers
2013-11-16,Oklahoma City Thunder,Milwaukee Bucks
2013-11-16,Boston Celtics,Minnesota Timberwolves
2013-11-16,Philadelphia 76ers,New Orleans Pelicans
2013-11-16,Atlanta Hawks,New York Knicks
2013-11-16,Dallas Mavericks,Orlando Magic
2013-11-16,Cleveland Cavaliers,Washington Wizards
2013-11-17,Detroit Pistons,Los Angeles Lakers
2013-11-17,Memphis Grizzlies,Sacramento Kings
2013-11-17,Portland Trail Blazers,Toronto Raptors
2013-11-18,Portland Trail Blazers,Brooklyn Nets
2013-11-18,Charlotte Bobcats,Chicago Bulls
2013-11-18,Philadelphia 76ers,Dallas Mavericks
2013-11-18,Memphis Grizzlies,Los Angeles Clippers
2013-11-18,Denver Nuggets,Oklahoma City Thunder
2013-11-18,Golden State Warriors,Utah Jazz
2013-11-19,New York Knicks,Detroit Pistons
2013-11-19,Boston Celtics,Houston Rockets
2013-11-19,Atlanta Hawks,Miami Heat
2013-11-19,Phoenix Suns,Sacramento Kings
2013-11-19,Minnesota Timberwolves,Washington Wizards
2013-11-20,Detroit Pistons,Atlanta Hawks
2013-11-20,Brooklyn Nets,Charlotte Bobcats
2013-11-20,Washington Wizards,Cleveland Cavaliers
2013-11-20,Houston Rockets,Dallas Mavericks
2013-11-20,Memphis Grizzlies,Golden State Warriors
2013-11-20,Portland Trail Blazers,Milwaukee Bucks
2013-11-20,Los Angeles Clippers,Minnesota Timberwolves
2013-11-20,Utah Jazz,New Orleans Pelicans
2013-11-20,Indiana Pacers,New York Knicks
2013-11-20,Miami Heat,Orlando Magic
2013-11-20,Toronto Raptors,Philadelphia 76ers
2013-11-20,Sacramento Kings,Phoenix Suns
2013-11-20,Boston Celtics,San Antonio Spurs
2013-11-21,Chicago Bulls,Denver Nuggets
2013-11-21,Los Angeles Clippers,Oklahoma City Thunder
2013-11-22,Indiana Pacers,Boston Celtics
2013-11-22,Phoenix Suns,Charlotte Bobcats
2013-11-22,Utah Jazz,Dallas Mavericks
2013-11-22,Atlanta Hawks,Detroit Pistons
2013-11-22,Golden State Warriors,Los Angeles Lakers
2013-11-22,San Antonio Spurs,Memphis Grizzlies
2013-11-22,Brooklyn Nets,Minnesota Timberwolves
2013-11-22,Cleveland Cavaliers,New Orleans Pelicans
2013-11-22,Milwaukee Bucks,Philadelphia 76ers
2013-11-22,Chicago Bulls,Portland Trail Blazers
2013-11-22,Washington Wizards,Toronto Raptors
2013-11-23,Boston Celtics,Atlanta Hawks
2013-11-23,Dallas Mavericks,Denver Nuggets
2013-11-23,Portland Trail Blazers,Golden State Warriors
2013-11-23,Minnesota Timberwolves,Houston Rockets
2013-11-23,Philadelphia 76ers,Indiana Pacers
2013-11-23,Sacramento Kings,Los Angeles Clippers
2013-11-23,Orlando Magic,Miami Heat
2013-11-23,Charlotte Bobcats,Milwaukee Bucks
2013-11-23,Cleveland Cavaliers,San Antonio Spurs
2013-11-23,New York Knicks,Washington Wizards
2013-11-24,Detroit Pistons,Brooklyn Nets
2013-11-24,Chicago Bulls,Los Angeles Clippers
2013-11-24,Sacramento Kings,Los Angeles Lakers
2013-11-24,Utah Jazz,Oklahoma City Thunder
2013-11-24,Phoenix Suns,Orlando Magic
2013-11-25,Boston Celtics,Charlotte Bobcats
2013-11-25,Denver Nuggets,Dallas Mavericks
2013-11-25,Milwaukee Bucks,Detroit Pistons
2013-11-25,Minnesota Timberwolves,Indiana Pacers
2013-11-25,Houston Rockets,Memphis Grizzlies
2013-11-25,Phoenix Suns,Miami Heat
2013-11-25,New York Knicks,Portland Trail Blazers
2013-11-25,New Orleans Pelicans,San Antonio Spurs
2013-11-25,Chicago Bulls,Utah Jazz
2013-11-26,Orlando Magic,Atlanta Hawks
2013-11-26,Golden State Warriors,New Orleans Pelicans
2013-11-26,Brooklyn Nets,Toronto Raptors
2013-11-26,Los Angeles Lakers,Washington Wizards
2013-11-27,Memphis Grizzlies,Boston Celtics
2013-11-27,Los Angeles Lakers,Brooklyn Nets
2013-11-27,Indiana Pacers,Charlotte Bobcats
2013-11-27,Miami Heat,Cleveland Cavaliers
2013-11-27,Golden State Warriors,Dallas Mavericks
2013-11-27,Chicago Bulls,Detroit Pistons
2013-11-27,Atlanta Hawks,Houston Rockets
2013-11-27,New York Knicks,Los Angeles Clippers
2013-11-27,Washington Wizards,Milwaukee Bucks
2013-11-27,Denver Nuggets,Minnesota Timberwolves
2013-11-27,San Antonio Spurs,Oklahoma City Thunder
2013-11-27,Philadelphia 76ers,Orlando Magic
2013-11-27,Portland Trail Blazers,Phoenix Suns
2013-11-29,Dallas Mavericks,Atlanta Hawks
2013-11-29,Cleveland Cavaliers,Boston Celtics
2013-11-29,Milwaukee Bucks,Charlotte Bobcats
2013-11-29,New York Knicks,Denver Nuggets
2013-11-29,Los Angeles Lakers,Detroit Pistons
2013-11-29,Brooklyn Nets,Houston Rockets
2013-11-29,Washington Wizards,Indiana Pacers
2013-11-29,Golden State Warriors,Oklahoma City Thunder
2013-11-29,San Antonio Spurs,Orlando Magic
2013-11-29,New Orleans Pelicans,Philadelphia 76ers
2013-11-29,Los Angeles Clippers,Sacramento Kings
2013-11-29,Miami Heat,Toronto Raptors
2013-11-29,Phoenix Suns,Utah Jazz
2013-11-30,Chicago Bulls,Cleveland Cavaliers
2013-11-30,Minnesota Timberwolves,Dallas Mavericks
2013-11-30,Brooklyn Nets,Memphis Grizzlies
2013-11-30,Boston Celtics,Milwaukee Bucks
2013-11-30,Utah Jazz,Phoenix Suns
2013-11-30,Houston Rockets,San Antonio Spurs
2013-11-30,Atlanta Hawks,Washington Wizards
2013-12-01,Philadelphia 76ers,Detroit Pistons
2013-12-01,Indiana Pacers,Los Angeles Clippers
2013-12-01,Portland Trail Blazers,Los Angeles Lakers
2013-12-01,Charlotte Bobcats,Miami Heat
2013-12-01,New Orleans Pelicans,New York Knicks
2013-12-01,Minnesota Timberwolves,Oklahoma City Thunder
2013-12-01,Golden State Warriors,Sacramento Kings
2013-12-01,Denver Nuggets,Toronto Raptors
2013-12-02,New Orleans Pelicans,Chicago Bulls
2013-12-02,Indiana Pacers,Portland Trail Blazers
2013-12-02,Atlanta Hawks,San Antonio Spurs
2013-12-02,Houston Rockets,Utah Jazz
2013-12-02,Orlando Magic,Washington Wizards
2013-12-03,Milwaukee Bucks,Boston Celtics
2013-12-03,Denver Nuggets,Brooklyn Nets
2013-12-03,Charlotte Bobcats,Dallas Mavericks
2013-12-03,Toronto Raptors,Golden State Warriors
2013-12-03,Phoenix Suns,Memphis Grizzlies
2013-12-03,Detroit Pistons,Miami Heat
2013-12-03,Orlando Magic,Philadelphia 76ers
2013-12-03,Oklahoma City Thunder,Sacramento Kings
2013-12-04,Los Angeles Clippers,Atlanta Hawks
2013-12-04,Denver Nuggets,Cleveland Cavaliers
2013-12-04,Phoenix Suns,Houston Rockets
2013-12-04,Detroit Pistons,Milwaukee Bucks
2013-12-04,Dallas Mavericks,New Orleans Pelicans
2013-12-04,Oklahoma City Thunder,Portland Trail Blazers
2013-12-04,Indiana Pacers,Utah Jazz
2013-12-05,New York Knicks,Brooklyn Nets
2013-12-05,Miami Heat,Chicago Bulls
2013-12-05,Los Angeles Clippers,Memphis Grizzlies
2013-12-06,Cleveland Cavaliers,Atlanta Hawks
2013-12-06,Denver Nuggets,Boston Celtics
2013-12-06,Philadelphia 76ers,Charlotte Bobcats
2013-12-06,Golden State Warriors,Houston Rockets
2013-12-06,Oklahoma City Thunder,New Orleans Pelicans
2013-12-06,Orlando Magic,New York Knicks
2013-12-06,Toronto Raptors,Phoenix Suns
2013-12-06,Utah Jazz,Portland Trail Blazers
2013-12-06,Los Angeles Lakers,Sacramento Kings
2013-12-06,Milwaukee Bucks,Washington Wizards
2013-12-07,Detroit Pistons,Chicago Bulls
2013-12-07,Los Angeles Clippers,Cleveland Cavaliers
2013-12-07,Golden State Warriors,Memphis Grizzlies
2013-12-07,Brooklyn Nets,Milwaukee Bucks
2013-12-07,Miami Heat,Minnesota Timberwolves
2013-12-07,Denver Nuggets,Philadelphia 76ers
2013-12-07,Dallas Mavericks,Portland Trail Blazers
2013-12-07,Indiana Pacers,San Antonio Spurs
2013-12-07,Sacramento Kings,Utah Jazz
2013-12-08,Miami Heat,Detroit Pistons
2013-12-08,Orlando Magic,Houston Rockets
2013-12-08,Toronto Raptors,Los Angeles Lakers
2013-12-08,Boston Celtics,New York Knicks
2013-12-08,Indiana Pacers,Oklahoma City Thunder
2013-12-09,Golden State Warriors,Charlotte Bobcats
2013-12-09,Orlando Magic,Memphis Grizzlies
2013-12-09,Los Angeles Clippers,Philadelphia 76ers
2013-12-09,Dallas Mavericks,Sacramento Kings
2013-12-09,Portland Trail Blazers,Utah Jazz
2013-12-09,Denver Nuggets,Washington Wizards
2013-12-10,Oklahoma City Thunder,Atlanta Hawks
2013-12-10,Boston Celtics,Brooklyn Nets
2013-12-10,Milwaukee Bucks,Chicago Bulls
2013-12-10,New York Knicks,Cleveland Cavaliers
2013-12-10,Minnesota Timberwolves,Detroit Pistons
2013-12-10,Miami Heat,Indiana Pacers
2013-12-10,Phoenix Suns,Los Angeles Lakers
2013-12-10,San Antonio Spurs,Toronto Raptors
2013-12-11,Los Angeles Clippers,Boston Celtics
2013-12-11,Orlando Magic,Charlotte Bobcats
2013-12-11,Dallas Mavericks,Golden State Warriors
2013-12-11,Oklahoma City Thunder,Memphis Grizzlies
2013-12-11,San Antonio Spurs,Milwaukee Bucks
2013-12-11,Philadelphia 76ers,Minnesota Timberwolves
2013-12-11,Detroit Pistons,New Orleans Pelicans
2013-12-11,Chicago Bulls,New York Knicks
2013-12-11,Utah Jazz,Sacramento Kings
2013-12-12,Los Angeles Clippers,Brooklyn Nets
2013-12-12,Houston Rockets,Portland Trail Blazers
2013-12-13,Washington Wizards,Atlanta Hawks
2013-12-13,New York Knicks,Boston Celtics
2013-12-13,Utah Jazz,Denver Nuggets
2013-12-13,Brooklyn Nets,Detroit Pistons
2013-12-13,Houston Rockets,Golden State Warriors
2013-12-13,Charlotte Bobcats,Indiana Pacers
2013-12-13,Chicago Bulls,Milwaukee Bucks
2013-12-13,Memphis Grizzlies,New Orleans Pelicans
2013-12-13,Los Angeles Lakers,Oklahoma City Thunder
2013-12-13,Cleveland Cavaliers,Orlando Magic
2013-12-13,Sacramento Kings,Phoenix Suns
2013-12-13,Minnesota Timberwolves,San Antonio Spurs
2013-12-13,Philadelphia 76ers,Toronto Raptors
2013-12-14,Los Angeles Lakers,Charlotte Bobcats
2013-12-14,Toronto Raptors,Chicago Bulls
2013-12-14,Milwaukee Bucks,Dallas Mavericks
2013-12-14,Cleveland Cavaliers,Miami Heat
2013-12-14,Atlanta Hawks,New York Knicks
2013-12-14,Portland Trail Blazers,Philadelphia 76ers
2013-12-14,San Antonio Spurs,Utah Jazz
2013-12-14,Los Angeles Clippers,Washington Wizards
2013-12-15,New Orleans Pelicans,Denver Nuggets
2013-12-15,Portland Trail Blazers,Detroit Pistons
2013-12-15,Minnesota Timberwolves,Memphis Grizzlies
2013-12-15,Orlando Magic,Oklahoma City Thunder
2013-12-15,Golden State Warriors,Phoenix Suns
2013-12-15,Houston Rockets,Sacramento Kings
2013-12-16,Los Angeles Lakers,Atlanta Hawks
2013-12-16,Minnesota Timberwolves,Boston Celtics
2013-12-16,Philadelphia 76ers,Brooklyn Nets
2013-12-16,Orlando Magic,Chicago Bulls
2013-12-16,Detroit Pistons,Indiana Pacers
2013-12-16,San Antonio Spurs,Los Angeles Clippers
2013-12-16,Utah Jazz,Miami Heat
2013-12-16,Washington Wizards,New York Knicks
2013-12-17,Sacramento Kings,Charlotte Bobcats
2013-12-17,Portland Trail Blazers,Cleveland Cavaliers
2013-12-17,Oklahoma City Thunder,Denver Nuggets
2013-12-17,New Orleans Pelicans,Golden State Warriors
2013-12-17,Los Angeles Lakers,Memphis Grizzlies
2013-12-18,Sacramento Kings,Atlanta Hawks
2013-12-18,Detroit Pistons,Boston Celtics
2013-12-18,Washington Wizards,Brooklyn Nets
2013-12-18,Memphis Grizzlies,Dallas Mavericks
2013-12-18,Chicago Bulls,Houston Rockets
2013-12-18,New Orleans Pelicans,Los Angeles Clippers
2013-12-18,Indiana Pacers,Miami Heat
2013-12-18,New York Knicks,Milwaukee Bucks
2013-12-18,Portland Trail Blazers,Minnesota Timberwolves
2013-12-18,Utah Jazz,Orlando Magic
2013-12-18,San Antonio Spurs,Phoenix Suns
2013-12-18,Charlotte Bobcats,Toronto Raptors
2013-12-19,San Antonio Spurs,Golden State Warriors
2013-12-19,Chicago Bulls,Oklahoma City Thunder
2013-12-20,Utah Jazz,Atlanta Hawks
2013-12-20,Milwaukee Bucks,Cleveland Cavaliers
2013-12-20,Toronto Raptors,Dallas Mavericks
2013-12-20,Phoenix Suns,Denver Nuggets
2013-12-20,Charlotte Bobcats,Detroit Pistons
2013-12-20,Houston Rockets,Indiana Pacers
2013-12-20,Minnesota Timberwolves,Los Angeles Lakers
2013-12-20,Sacramento Kings,Miami Heat
2013-12-20,Brooklyn Nets,Philadelphia 76ers
2013-12-21,Washington Wizards,Boston Celtics
2013-12-21,Utah Jazz,Charlotte Bobcats
2013-12-21,Cleveland Cavaliers,Chicago Bulls
2013-12-21,Houston Rockets,Detroit Pistons
2013-12-21,Los Angeles Lakers,Golden State Warriors
2013-12-21,Denver Nuggets,Los Angeles Clippers
2013-12-21,Philadelphia 76ers,Milwaukee Bucks
2013-12-21,Memphis Grizzlies,New York Knicks
2013-12-21,Sacramento Kings,Orlando Magic
2013-12-21,Dallas Mavericks,Phoenix Suns
2013-12-21,New Orleans Pelicans,Portland Trail Blazers
2013-12-21,Oklahoma City Thunder,San Antonio Spurs
2013-12-22,Boston Celtics,Indiana Pacers
2013-12-22,Minnesota Timberwolves,Los Angeles Clippers
2013-12-22,Toronto Raptors,Oklahoma City Thunder
2013-12-23,Indiana Pacers,Brooklyn Nets
2013-12-23,Milwaukee Bucks,Charlotte Bobcats
2013-12-23,Detroit Pistons,Cleveland Cavaliers
2013-12-23,Golden State Warriors,Denver Nuggets
2013-12-23,Dallas Mavericks,Houston Rockets
2013-12-23,Utah Jazz,Memphis Grizzlies
2013-12-23,Atlanta Hawks,Miami Heat
2013-12-23,New York Knicks,Orlando Magic
2013-12-23,Los Angeles Lakers,Phoenix Suns
2013-12-23,New Orleans Pelicans,Sacramento Kings
2013-12-23,Toronto Raptors,San Antonio Spurs
2013-12-25,Chicago Bulls,Brooklyn Nets
2013-12-25,Los Angeles Clippers,Golden State Warriors
2013-12-25,Miami Heat,Los Angeles Lakers
2013-12-25,Oklahoma City Thunder,New York Knicks
2013-12-25,Houston Rockets,San Antonio Spurs
2013-12-26,Atlanta Hawks,Cleveland Cavaliers
2013-12-26,San Antonio Spurs,Dallas Mavericks
2013-12-26,Memphis Grizzlies,Houston Rockets
2013-12-26,Los Angeles Clippers,Portland Trail Blazers
2013-12-27,Milwaukee Bucks,Brooklyn Nets
2013-12-27,Oklahoma City Thunder,Charlotte Bobcats
2013-12-27,Phoenix Suns,Golden State Warriors
2013-12-27,Washington Wizards,Minnesota Timberwolves
2013-12-27,Denver Nuggets,New Orleans Pelicans
2013-12-27,Toronto Raptors,New York Knicks
2013-12-27,Detroit Pistons,Orlando Magic
2013-12-27,Miami Heat,Sacramento Kings
2013-12-27,Los Angeles Lakers,Utah Jazz
2013-12-28,Charlotte Bobcats,Atlanta Hawks
2013-12-28,Cleveland Cavaliers,Boston Celtics
2013-12-28,Dallas Mavericks,Chicago Bulls
2013-12-28,New Orleans Pelicans,Houston Rockets
2013-12-28,Brooklyn Nets,Indiana Pacers
2013-12-28,Utah Jazz,Los Angeles Clippers
2013-12-28,Denver Nuggets,Memphis Grizzlies
2013-12-28,Minnesota Timberwolves,Milwaukee Bucks
2013-12-28,Philadelphia 76ers,Phoenix Suns
2013-12-28,Miami Heat,Portland Trail Blazers
2013-12-28,New York Knicks,Toronto Raptors
2013-12-28,Detroit Pistons,Washington Wizards
2013-12-29,Golden State Warriors,Cleveland Cavaliers
2013-12-29,Philadelphia 76ers,Los Angeles Lakers
2013-12-29,Houston Rockets,Oklahoma City Thunder
2013-12-29,Atlanta Hawks,Orlando Magic
2013-12-29,Sacramento Kings,San Antonio Spurs
2013-12-30,Miami Heat,Denver Nuggets
2013-12-30,Washington Wizards,Detroit Pistons
2013-12-30,Phoenix Suns,Los Angeles Clippers
2013-12-30,Chicago Bulls,Memphis Grizzlies
2013-12-30,Dallas Mavericks,Minnesota Timberwolves
2013-12-30,Portland Trail Blazers,New Orleans Pelicans
2013-12-30,Charlotte Bobcats,Utah Jazz
2013-12-31,Atlanta Hawks,Boston Celtics
2013-12-31,Toronto Raptors,Chicago Bulls
2013-12-31,Sacramento Kings,Houston Rockets
2013-12-31,Cleveland Cavaliers,Indiana Pacers
2013-12-31,Milwaukee Bucks,Los Angeles Lakers
2013-12-31,Portland Trail Blazers,Oklahoma City Thunder
2013-12-31,Golden State Warriors,Orlando Magic
2013-12-31,Brooklyn Nets,San Antonio Spurs
2014-01-01,Philadelphia 76ers,Denver Nuggets
2014-01-01,Charlotte Bobcats,Los Angeles Clippers
2014-01-01,New Orleans Pelicans,Minnesota Timberwolves
2014-01-01,Indiana Pacers,Toronto Raptors
2014-01-01,Dallas Mavericks,Washington Wizards
2014-01-02,Boston Celtics,Chicago Bulls
2014-01-02,Orlando Magic,Cleveland Cavaliers
2014-01-02,Golden State Warriors,Miami Heat
2014-01-02,Brooklyn Nets,Oklahoma City Thunder
2014-01-02,Memphis Grizzlies,Phoenix Suns
2014-01-02,Charlotte Bobcats,Portland Trail Blazers
2014-01-02,Philadelphia 76ers,Sacramento Kings
2014-01-02,New York Knicks,San Antonio Spurs
2014-01-02,Milwaukee Bucks,Utah Jazz
2014-01-03,Golden State Warriors,Atlanta Hawks
2014-01-03,New Orleans Pelicans,Boston Celtics
2014-01-03,Los Angeles Clippers,Dallas Mavericks
2014-01-03,Memphis Grizzlies,Denver Nuggets
2014-01-03,New York Knicks,Houston Rockets
2014-01-03,Utah Jazz,Los Angeles Lakers
2014-01-03,Toronto Raptors,Washington Wizards
2014-01-04,Cleveland Cavaliers,Brooklyn Nets
2014-01-04,Atlanta Hawks,Chicago Bulls
2014-01-04,New Orleans Pelicans,Indiana Pacers
2014-01-04,Oklahoma City Thunder,Minnesota Timberwolves
2014-01-04,Miami Heat,Orlando Magic
2014-01-04,Milwaukee Bucks,Phoenix Suns
2014-01-04,Philadelphia 76ers,Portland Trail Blazers
2014-01-04,Charlotte Bobcats,Sacramento Kings
2014-01-04,Los Angeles Clippers,San Antonio Spurs
2014-01-05,Indiana Pacers,Cleveland Cavaliers
2014-01-05,New York Knicks,Dallas Mavericks
2014-01-05,Memphis Grizzlies,Detroit Pistons
2014-01-05,Denver Nuggets,Los Angeles Lakers
2014-01-05,Toronto Raptors,Miami Heat
2014-01-05,Boston Celtics,Oklahoma City Thunder
2014-01-05,Golden State Warriors,Washington Wizards
2014-01-06,Atlanta Hawks,Brooklyn Nets
2014-01-06,Orlando Magic,Los Angeles Clippers
2014-01-06,Minnesota Timberwolves,Philadelphia 76ers
2014-01-07,Washington Wizards,Charlotte Bobcats
2014-01-07,Phoenix Suns,Chicago Bulls
2014-01-07,Philadelphia 76ers,Cleveland Cavaliers
2014-01-07,Los Angeles Lakers,Dallas Mavericks
2014-01-07,Boston Celtics,Denver Nuggets
2014-01-07,Toronto Raptors,Indiana Pacers
2014-01-07,San Antonio Spurs,Memphis Grizzlies
2014-01-07,New Orleans Pelicans,Miami Heat
2014-01-07,Golden State Warriors,Milwaukee Bucks
2014-01-07,Detroit Pistons,New York Knicks
2014-01-07,Portland Trail Blazers,Sacramento Kings
2014-01-07,Oklahoma City Thunder,Utah Jazz
2014-01-08,Indiana Pacers,Atlanta Hawks
2014-01-08,Golden State Warriors,Brooklyn Nets
2014-01-08,Los Angeles Lakers,Houston Rockets
2014-01-08,Boston Celtics,Los Angeles Clippers
2014-01-08,Phoenix Suns,Minnesota Timberwolves
2014-01-08,Washington Wizards,New Orleans Pelicans
2014-01-08,Orlando Magic,Portland Trail Blazers
2014-01-08,Dallas Mavericks,San Antonio Spurs
2014-01-08,Detroit Pistons,Toronto Raptors
2014-01-09,Oklahoma City Thunder,Denver Nuggets
2014-01-09,Miami Heat,New York Knicks
