Date,Visitor/Neutral,Home/Neutral
2013-10-29,Orlando Magic,Indiana Pacers
2013-10-29,Los Angeles Clippers,Los Angeles Lakers
2013-10-29,Chicago Bulls,Miami Heat
2013-10-30,Brooklyn Nets,Cleveland Cavaliers
2013-10-30,Atlanta Hawks,Dallas Mavericks
2013-10-30,Washington Wizards,Detroit Pistons
2013-10-30,Los Angeles Lakers,Golden State Warriors
2013-10-30,Charlotte Bobcats,Houston Rockets
2013-10-30,Orlando Magic,Minnesota Timberwolves
2013-10-30,Indiana Pacers,New Orleans Pelicans
2013-10-30,Milwaukee Bucks,New York Knicks
2013-10-30,Miami Heat,Philadelphia 76ers
2013-10-30,Portland Trail Blazers,Phoenix Suns
2013-10-30,Denver Nuggets,Sacramento Kings
2013-10-30,Memphis Grizzlies,San Antonio Spurs
2013-10-30,Boston Celtics,Toronto Raptors
2013-10-30,Oklahoma City Thunder,Utah Jazz
2013-10-31,New York Knicks,Chicago Bulls
2013-10-31,Golden State Warriors,Los Angeles Clippers
2013-11-01,Toronto Raptors,Atlanta Hawks
2013-11-01,Milwaukee Bucks,Boston Celtics
2013-11-01,Miami Heat,Brooklyn Nets
2013-11-01,Cleveland Cavaliers,Charlotte Bobcats
2013-11-01,Portland Trail Blazers,Denver Nuggets
2013-11-01,Dallas Mavericks,Houston Rockets
2013-11-01,San Antonio Spurs,Los Angeles Lakers
2013-11-01,Detroit Pistons,Memphis Grizzlies
2013-11-01,Oklahoma City Thunder,Minnesota Timberwolves
2013-11-01,New Orleans Pelicans,Orlando Magic
2013-11-01,Utah Jazz,Phoenix Suns
2013-11-01,Los Angeles Clippers,Sacramento Kings
2013-11-01,Philadelphia 76ers,Washington Wizards
2013-11-02,Memphis Grizzlies,Dallas Mavericks
2013-11-02,Sacramento Kings,Golden State Warriors
2013-11-02,Cleveland Cavaliers,Indiana Pacers
2013-11-02,Toronto Raptors,Milwaukee Bucks
2013-11-02,Charlotte Bobcats,New Orleans Pelicans
2013-11-02,Chicago Bulls,Philadelphia 76ers
